timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
865064000,-0.46694702,32.068146,-12.1801605,-1.2788968,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
865228000,-0.46694702,32.068146,-12.1801605,-1.2789934,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
865436000,-0.46694702,32.068146,-12.1801605,-1.2783775,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
865632000,-0.46694702,32.068146,-12.1801605,-1.2788441,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
865836000,-0.46694702,32.068146,-12.1801605,-1.2785342,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
866032000,-0.46694702,32.068146,-12.1801605,-1.2790121,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
866228000,-0.46694702,32.068146,-12.1801605,-1.2787142,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
866444000,-0.46694702,32.068146,-12.1801605,-1.2791601,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
866640000,-0.46694702,32.068146,-12.1801605,-1.2789619,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
866840000,-0.46694702,32.068146,-12.1801605,-1.2793406,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
867044000,-0.46694702,32.068146,-12.1801605,-1.2789016,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
867248000,-0.46694702,32.068146,-12.1801605,-1.279363,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
867448000,-0.46694702,32.068146,-12.1801605,-1.2790353,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
867652000,-0.46694702,32.068146,-12.1801605,-1.2793748,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
867856000,-0.46694702,32.068146,-12.1801605,-1.279072,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
868056000,-0.46694702,32.068146,-12.1801605,-1.2794071,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
868248000,-0.46694702,32.068146,-12.1801605,-1.279121,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
868452000,-0.46694702,32.068146,-12.1801605,-1.2794077,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
868656000,-0.46694702,32.068146,-12.1801605,-1.2789843,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
868856000,-0.46694702,32.068146,-12.1801605,-1.2794076,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
869052000,-0.46694702,32.068146,-12.1801605,-1.2788038,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
869256000,-0.46694702,32.068146,-12.1801605,-1.2792645,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
869456000,-0.46694702,32.068146,-12.1801605,-1.2786868,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
869656000,-0.46694702,32.068146,-12.1801605,-1.2792596,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
869860000,-0.46694702,32.068146,-12.1801605,-1.278567,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
870060000,-0.46694702,32.068146,-12.1801605,-1.2791185,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
870260000,-0.46694702,32.068146,-12.1801605,-1.2787133,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
870464000,-0.46694702,32.068146,-12.1801605,-1.2790899,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
870624000,-0.46694702,32.068146,-12.1801605,-1.2791221,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
870864000,-0.46694702,32.068146,-12.1801605,-1.2788695,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
871060000,-0.46694702,32.068146,-12.1801605,-1.2785206,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
871252000,-0.46694702,32.068146,-12.1801605,-1.2788124,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
871460000,-0.46694702,32.068146,-12.1801605,-1.2785791,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
871620000,-0.46694702,32.068146,-12.1801605,-1.2786565,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
