timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
885600000,1694470237243612,0,416067704,-863552080,236584,236584,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.04,-0.01,0.79999995,5.880189,0,nan,nan,0.0,0,3,0,1,10
886992000,1694470238635612,0,416067704,-863552082,235487,235487,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.75,5.265833,0,nan,nan,0.0,0,3,0,1,10
887824000,1694470239467612,0,416067703,-863552081,234886,234886,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.02,0.0,0.75,2.9626963,0,nan,nan,0.0,0,3,0,1,10
888812000,1694470240459612,0,416067700,-863552079,234201,234201,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.03,0.0,0.69,3.144036,0,nan,nan,0.0,0,3,0,1,10
889800000,1694470241447612,0,416067698,-863552076,233534,233534,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.0,0.0,0.71,3.240029,0,nan,nan,0.0,0,3,0,1,10
890800000,1694470242443611,0,416067697,-863552075,232847,232847,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,-0.01,0.01,0.68,2.2485077,0,nan,nan,0.0,0,3,0,1,10
891828000,1694470243475612,0,416067697,-863552074,232142,232142,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,0.01,0.7,1.4631095,0,nan,nan,0.0,0,3,0,1,10
892816000,1694470244459612,0,416067699,-863552073,231473,231473,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.01,0.0,0.62,0.26843163,0,nan,nan,0.0,0,3,0,1,10
893804000,1694470245451612,0,416067701,-863552073,230822,230822,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.01,-0.01,0.68,5.5157638,0,nan,nan,0.0,0,3,0,1,10
894792000,1694470246439612,0,416067702,-863552074,230138,230138,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.01,-0.02,0.66999996,5.257281,0,nan,nan,0.0,0,3,0,1,10
895624000,1694470247271612,0,416067703,-863552074,229575,229575,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.02,0.01,0.62,0.41922805,0,nan,nan,0.0,0,3,0,1,10
896820000,1694470248467612,0,416067705,-863552074,229275,229275,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.086762,0,nan,nan,0.0,0,3,0,1,10
897808000,1694470249451612,0,416067705,-863552075,229265,229265,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.02,0.07138396,0,nan,nan,0.0,0,3,0,1,10
898596000,1694470250247612,0,416067705,-863552074,229270,229270,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.06,1.025381,0,nan,nan,0.0,0,3,0,1,10
899992000,1694470251639612,0,416067705,-863552075,229267,229267,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.2403781,0,nan,nan,0.0,0,3,0,1,10
