timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1743177495693379,1743177495693379,1310988,1310988,-5.3268423e-06,-8.41553e-05,-0.00066898623,-0.007359776,0.00084275973,-0.038613692,4000,4000,0,0,0,1
1743177496193379,1743177496193379,1310988,1310988,-2.5566454e-05,-3.621904e-05,0.00011185274,-0.0082312655,0.00076135685,-0.0384844,4000,4000,0,0,0,1
1743177496693379,1743177496693379,1310988,1310988,-2.343619e-05,-1.8109435e-05,0.00027377298,-0.008537724,0.00075656845,-0.038201887,4000,4000,0,0,0,1
1743177497193379,1743177497193379,1310988,1310988,-1.810969e-05,-0.00010865693,-0.00014381074,-0.008863336,0.0010438728,-0.038273714,4000,4000,0,0,0,1
1743177497693379,1743177497693379,1310988,1310988,-5.3263957e-06,-0.00010546109,-7.563392e-05,-0.00942358,0.0007709336,-0.03822583,4000,4000,0,0,0,1
1743177498193379,1743177498193379,1310988,1310988,-3.8343962e-05,0.0013134716,8.308673e-05,-0.010070014,0.0006512236,-0.03736392,4000,4000,0,0,0,1
1743177498693379,1743177498693379,1310988,1310988,1.9174855e-05,-1.9174711e-05,7.776431e-05,-0.009380483,0.00079008733,-0.038431726,4000,4000,0,0,0,1
1743177499193379,1743177499193379,1310988,1310988,1.9174751e-05,8.4155916e-05,-3.4088436e-05,-0.008111555,0.00064643513,-0.038790856,4000,4000,0,0,0,1
1743177499693379,1743177499693379,1310988,1310988,5.326376e-05,0.00017576854,6.711157e-05,-0.0070868377,0.00044053383,-0.038968027,4000,4000,0,0,0,1
1743177500193379,1743177500193379,1310988,1310988,3.7284146e-05,0.00013209278,-2.4501418e-05,-0.0060908496,0.0005171483,-0.038843535,4000,4000,0,0,0,1
1743177500693379,1743177500693379,1310988,1310988,5.432842e-05,0.0001310276,9.5868945e-06,-0.0054348386,0.0005410903,-0.03925055,4000,4000,0,0,0,1
1743177501193379,1743177501193379,1310988,1310988,9.480865e-05,0.00010759174,3.5153367e-05,-0.004223373,0.0007996641,-0.03919787,4000,4000,0,0,0,1
1743177501693379,1743177501693379,1310988,1310988,-1.2783564e-05,9.267785e-05,5.4328684e-05,-0.0034955349,0.00044053385,-0.03930322,4000,4000,0,0,0,1
1743177502193379,1743177502193379,1310988,1310988,5.3263193e-05,-2.0239991e-05,0.00013102754,-0.0032178075,0.0003974382,-0.039308008,4000,4000,0,0,0,1
1743177502693379,1743177502693379,1310988,1310988,-0.0017012286,9.373866e-05,-0.0008948205,-0.0025234886,0.0007900874,-0.040284842,4000,4000,0,0,0,1
1743177503193379,1743177503193379,1310988,1310988,-0.0012239903,-0.0022477077,-0.005483981,-0.003145981,-0.00015322825,-0.03928406,4000,4000,0,0,0,1
1743177503693379,1743177503693379,1310988,1310988,0.0016777952,-0.0006402286,-0.003172355,-0.0035099,-0.0009864104,-0.043028597,4000,4000,0,0,0,1
1743177504193379,1743177504193379,1310988,1310988,-0.0013006981,0.00025672445,0.003301251,-0.005803546,-0.00072304835,-0.03816358,4000,4000,0,0,0,1
1743177504693379,1743177504693379,1310988,1310988,0.00043036733,0.0016852522,0.001125979,-0.0081833815,0.00023463248,-0.03849398,4000,4000,0,0,0,1
1743177505193379,1743177505193379,1310988,1310988,-0.00060932536,0.0015030879,-0.0016181393,-0.00756089,0.00021069043,-0.03824498,4000,4000,0,0,0,1
1743177505693379,1743177505693379,1310988,1310988,0.0001565935,-0.00029294778,-0.00019068265,-0.005621586,-6.224855e-05,-0.039882615,4000,4000,0,0,0,1
1743177506193379,1743177506193379,1310988,1310988,-6.71113e-05,-0.00018322562,0.0006189187,-0.0044675805,0.000158018,-0.039226606,4000,4000,0,0,0,1
1743177506693379,1743177506693379,1310988,1310988,2.2370354e-05,-7.456882e-05,-0.00018429066,-0.0041132383,-6.224856e-05,-0.03916914,4000,4000,0,0,0,1
1743177507193379,1743177507193379,1310988,1310988,-1.278331e-05,0.00010226504,-0.00039627848,-0.0037062247,0.00017238322,-0.039106894,4000,4000,0,0,0,1
1743177507693379,1743177507693379,1310988,1310988,-2.5566207e-05,7.7764256e-05,5.6459165e-05,-0.0033279408,0.000114922375,-0.039217032,4000,4000,0,0,0,1
1743177508193379,1743177508193379,1310988,1310988,8.521883e-06,0.0001097223,-0.00014381071,-0.002949657,9.577494e-06,-0.039375048,4000,4000,0,0,0,1
1743177508693379,1743177508693379,1310988,1310988,-2.7696227e-05,7.4568874e-05,-0.00040266995,-0.0021883005,-0.000114921,-0.038977604,4000,4000,0,0,0,1
1743177509193379,1743177509193379,1310988,1310988,-1.0653653e-06,-2.0239942e-05,-7.137274e-05,-0.00192015,-0.00026336152,-0.039154775,4000,4000,0,0,0,1
1743177509693379,1743177509693379,1310988,1310988,-0.00078082486,-0.001938788,0.0037252298,-0.0018770543,0.00012449919,-0.039528277,4000,4000,0,0,0,1
1743177510193379,1743177510193379,1310988,1310988,0.0002663105,-0.0016820681,0.0053827777,-0.0020015526,0.00022026729,-0.040821142,4000,4000,0,0,0,1
1743177510693379,1743177510693379,1310988,1310988,0.0006263657,0.0016010966,-0.0001107871,-0.002466028,0.0011013335,-0.039671928,4000,4000,0,0,0,1
1743177511193379,1743177511193379,1310988,1310988,0.0001970816,0.0015574129,-0.0030253527,-0.0038833956,0.00017717162,-0.03928406,4000,4000,0,0,0,1
1743177511693379,1743177511693379,1310988,1310988,-0.00026098156,0.0013859116,0.00087884197,-0.0024564513,2.3942715e-05,-0.04002627,4000,4000,0,0,0,1
1743177512193379,1743177512193379,1310988,1310988,-1.0658835e-05,-0.0008543393,0.001965414,-0.0017046717,9.576876e-05,-0.039849095,4000,4000,0,0,0,1
1743177512693379,1743177512693379,1310988,1310988,-0.00012250454,-0.0004186495,0.00015126687,-0.0010342953,0.00032082372,-0.039427716,4000,4000,0,0,0,1
1743177513193379,1743177513193379,1310988,1310988,-0.0017097469,0.00041652127,-0.0019760677,-0.00081402867,0.000454899,-0.04001191,4000,4000,0,0,0,1
1743177513693379,1743177513693379,1310988,1310988,0.00045380936,-0.0016458398,-0.005455218,-0.0011731591,0.000114922375,-0.03911647,4000,4000,0,0,0,1
1743177514193379,1743177514193379,1310988,1310988,-0.00061145076,0.0014253277,-0.003082876,-0.0013694835,-0.00025378467,-0.040964797,4000,4000,0,0,0,1
1743177514693379,1743177514693379,1310988,1310988,-0.0012378324,0.0014221143,0.002896463,-0.0017238255,-0.000742202,-0.0373687,4000,4000,0,0,0,1
1743177515193379,1743177515193379,1310988,1310988,0.0010002858,-0.0005432846,0.0006285025,-0.0018243816,-0.00047883968,-0.040318362,4000,4000,0,0,0,1
1743177515693379,1743177515693379,1310988,1310988,-0.00015552547,-0.0008820436,-0.0018184046,-0.0012018895,-0.00063685694,-0.03947561,4000,4000,0,0,0,1
1743177516193379,1743177516193379,1310988,1310988,9.4808616e-05,-3.8349368e-05,9.587381e-05,-0.0010678141,-0.0011875236,-0.039082948,4000,4000,0,0,0,1
1743177516693379,1743177516693379,1310988,1310988,0.00086713186,0.00010650768,0.0026045702,-0.0014125791,-0.0010007756,-0.040145975,4000,4000,0,0,0,1
1743177517193379,1743177517193379,1310988,1310988,0.0007254642,-0.0016362501,0.0053998227,-0.0026910831,-0.00016759345,-0.039877824,4000,4000,0,0,0,1
1743177517693379,1743177517693379,1310988,1310988,-0.0002173174,0.000109726294,0.0016852479,-0.0038211464,0.00031124696,-0.041673478,4000,4000,0,0,0,1
1743177518193379,1743177518193379,1310988,1310988,0.0001235727,-0.0003195801,-0.0033641055,-0.005904102,5.267312e-05,-0.03890099,4000,4000,0,0,0,1
1743177518693379,1743177518693379,1310988,1310988,-0.00039520932,0.0010471549,-0.00046872016,-0.0073262574,-0.000114921015,-0.03849398,4000,4000,0,0,0,1
1743177519193379,1743177519193379,1310988,1310988,-1.1716092e-05,0.00013848806,0.001342233,-0.0063446355,-0.0001053442,-0.038891412,4000,4000,0,0,0,1
1743177519693379,1743177519693379,1310988,1310988,9.0547175e-05,-1.4913571e-05,-0.0001416804,-0.0058705835,0.00018196004,-0.038991973,4000,4000,0,0,0,1
1743177520193379,1743177520193379,1310988,1310988,5.219929e-05,-0.00059867726,-0.0005454169,-0.010845734,-0.0008044512,-0.03846525,4000,4000,0,0,0,1
1743177520693379,1743177520693379,1310988,1310988,0.0010237178,-0.0014168025,0.0002428818,-0.01854549,-0.005942409,-0.03525701,4000,4000,0,0,0,1
1743177521193379,1743177521193379,1310988,1310988,0.0002833595,-0.00020453199,0.00043356267,-0.015969329,-0.0032944214,-0.03452439,4000,4000,0,0,0,1
1743177521693379,1743177521693379,1310988,1310988,-0.00024075154,0.0006924213,5.219861e-05,-0.012583924,-0.0013168106,-0.037129287,4000,4000,0,0,0,1
1743177522193379,1743177522193379,1310988,1310988,-0.00046978256,0.0008639288,-0.00019707509,-0.009696517,-0.00041180212,-0.038086966,4000,4000,0,0,0,1
1743177522693379,1743177522693379,1310988,1310988,-0.00038136475,0.00036218954,-0.00013955058,-0.008643068,-0.0003782832,-0.038757343,4000,4000,0,0,0,1
1743177523193379,1743177523193379,1310988,1310988,-7.030713e-05,0.0016426378,-5.326239e-05,-0.0085425135,-0.00037349484,-0.0380726,4000,4000,0,0,0,1
1743177523693379,1743177523693379,1310988,1310988,-5.7523994e-05,0.00014913689,-0.000106526786,-0.00851857,-0.0001053442,-0.03898239,4000,4000,0,0,0,1
1743177524193379,1743177524193379,1310988,1310988,4.5806326e-05,-7.882953e-05,-0.00010439597,-0.008327034,6.799533e-10,-0.038958456,4000,4000,0,0,0,1
1743177524693379,1743177524693379,1310988,1310988,5.8589587e-05,-4.900219e-05,-2.023987e-05,-0.007867347,-0.00013407464,-0.039106894,4000,4000,0,0,0,1
1743177525193379,1743177525193379,1310988,1310988,7.137282e-05,-6.178532e-05,-5.113257e-05,-0.0076710233,-4.3094962e-05,-0.038637627,4000,4000,0,0,0,1
1743177525693379,1743177525693379,1310988,1310988,1.0652886e-05,3.1960392e-06,-9.906957e-05,-0.006761226,0.00012928758,-0.03879565,4000,4000,0,0,0,1
1743177526193379,1743177526193379,1310988,1310988,-1.0651974e-06,-1.491411e-05,-0.00013209278,-0.00623929,0.00020590205,-0.038905777,4000,4000,0,0,0,1
1743177526693379,1743177526693379,1310988,1310988,-5.645933e-05,5.3262807e-05,-0.00019707395,-0.0056982003,6.703834e-05,-0.038833957,4000,4000,0,0,0,1
1743177527193379,1743177527193379,1310988,1310988,1.0651453e-06,2.4500694e-05,-0.00023435825,-0.0052768216,0.00012449917,-0.03893451,4000,4000,0,0,0,1
1743177527693379,1743177527693379,1310988,1310988,-0.0019409108,-1.918459e-05,-0.0011547486,-0.0049224794,0.00024899768,-0.04033751,4000,4000,0,0,0,1
1743177528193379,1743177528193379,1310988,1310988,0.00057631044,-0.001578714,-0.005452026,-0.0045729256,-0.00039743682,-0.03845089,4000,4000,0,0,0,1
1743177528693379,1743177528693379,1310988,1310988,-0.0007328911,0.0024202836,-0.0008671276,-0.0032656917,-0.0025282763,-0.03959053,4000,4000,0,0,0,1
1743177529193379,1743177529193379,1310988,1310988,-0.0011217274,0.0012229242,0.0022817946,-0.004209007,-0.00140779,-0.039681505,4000,4000,0,0,0,1
1743177529693379,1743177529693379,1310988,1310988,-0.0002663218,-0.001007734,-0.0022956473,-0.003160346,-0.0011731583,-0.038690306,4000,4000,0,0,0,1
1743177530193379,1743177530193379,1310988,1310988,0.00053476496,0.0002695085,-0.0007233143,-0.0019728222,-0.0017238247,-0.039978385,4000,4000,0,0,0,1
1743177530693379,1743177530693379,1310988,1310988,-0.00013423811,-0.0024074926,0.005596902,-0.0029113498,-0.00072783674,-0.037823603,4000,4000,0,0,0,1
