timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1743177542053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177543053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177544053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177545053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177546053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177547053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177548053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177549053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177550053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177551053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177552053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177553053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177554053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177555053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177556053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177557053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177558053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177559053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177560053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177561053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177562053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177563053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177564053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
