timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.loiter_radius,previous.loiter_minor_radius,previous.loiter_orientation,previous.acceptance_radius,previous.alt_acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.loiter_direction_counter_clockwise,previous.loiter_pattern,previous.gliding_enabled,previous._padding0[0],previous._padding0[1],previous._padding0[2],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.loiter_radius,current.loiter_minor_radius,current.loiter_orientation,current.acceptance_radius,current.alt_acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.loiter_direction_counter_clockwise,current.loiter_pattern,current.gliding_enabled,current._padding0[0],current._padding0[1],current._padding0[2],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.loiter_radius,next.loiter_minor_radius,next.loiter_orientation,next.acceptance_radius,next.alt_acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.loiter_direction_counter_clockwise,next.loiter_pattern,next.gliding_enabled,next._padding0[0],next._padding0[1],next._padding0[2]
1743177530077379,1743177527357379,52.5145711,13.323517899999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177530077379,52.5145711,13.3234588,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177533157379,1743177530077379,52.5145711,13.3234588,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177533157379,52.5145621,13.323443999999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177534917379,1743177533157379,52.5145621,13.323443999999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177534917379,52.5145621,13.323414399999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177536989379,1743177534917379,52.5145621,13.323414399999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177536989379,52.514535099999996,13.3233701,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177540461379,1743177536989379,52.514535099999996,13.3233701,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177540461379,52.514535099999996,13.323251899999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177544797379,1743177540461379,52.514535099999996,13.323251899999999,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177544797379,52.5145262,13.3232371,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177546613379,1743177544797379,52.5145262,13.3232371,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177546613379,52.5145262,13.3230154,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177555485379,1743177546613379,52.5145262,13.3230154,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177555485379,52.5148589,13.3224687,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,1,0,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177571633379,1743177546613379,52.5145262,13.3230154,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0,1743177571633379,52.514854723434794,13.322472801406123,0.0,0.0,0.0,24.938358,nan,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
1743177571637379,1743177546613379,52.5145262,13.3230154,0.0,0.0,0.0,24.994036,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0,1743177571637379,52.514854723434794,13.322472801406123,0.0,0.0,0.0,24.938358,nan,80.0,0.0,0.0,2.0,nan,-1.0,nan,1,2,0,0,0,0,0,0,1743177458537379,52.5148589,13.325424199999999,0.0,0.0,0.0,49.859627,nan,80.0,0.0,0.0,1.0,nan,-1.0,nan,0,0,0,0,0,0,0,0
