timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
1743177543953379,0,0,0,0,0
1743177544457379,0,0,0,0,0
1743177544961379,0,0,0,0,0
1743177545465379,0,0,0,0,0
1743177545969379,0,0,0,0,0
1743177546473379,0,0,0,0,0
1743177546977379,0,0,0,0,0
1743177547481379,0,0,0,0,0
1743177547985379,0,0,0,0,0
1743177548489379,0,0,0,0,0
1743177548993379,0,0,0,0,0
1743177549497379,0,0,0,0,0
1743177550001379,0,0,0,0,0
1743177550505379,0,0,0,0,0
1743177551009379,0,0,0,0,0
1743177551513379,0,0,0,0,0
1743177552017379,0,0,0,0,0
1743177552521379,0,0,0,0,0
1743177553025379,0,0,0,0,0
1743177553529379,0,0,0,0,0
1743177554033379,0,0,0,0,0
1743177554537379,0,0,0,0,0
1743177555041379,0,0,0,0,0
1743177555545379,0,0,0,0,0
1743177556049379,0,0,0,0,0
1743177556553379,0,0,0,0,0
1743177557057379,0,0,0,0,0
1743177557561379,0,0,0,0,0
1743177558065379,0,0,0,0,0
1743177558569379,0,0,0,0,0
1743177559073379,0,0,0,0,0
1743177559577379,0,0,0,0,0
1743177560081379,0,0,0,0,0
1743177560585379,0,0,0,0,0
1743177561089379,0,0,0,0,0
1743177561593379,0,0,0,0,0
1743177562097379,0,0,0,0,0
1743177562601379,0,0,0,0,0
1743177563105379,0,0,0,0,0
1743177563609379,0,0,0,0,0
1743177564113379,0,0,0,0,0
1743177564617379,0,0,0,0,0
1743177565121379,0,0,0,0,0
1743177565625379,0,0,0,0,0
1743177566129379,0,0,0,0,0
1743177566633379,0,0,0,0,0
1743177567137379,0,0,0,0,0
1743177567641379,0,0,0,0,0
1743177568145379,0,0,0,0,0
1743177568649379,0,0,0,0,0
1743177569153379,0,0,0,0,0
1743177569657379,0,0,0,0,0
1743177570161379,0,0,0,0,0
1743177570665379,0,0,0,0,0
1743177571169379,0,0,0,0,0
1743177571673379,0,0,0,0,0
1743177572177379,0,0,0,0,0
1743177572681379,0,0,0,0,0
1743177573185379,0,0,0,0,0
1743177573689379,0,0,0,0,0
1743177574193379,0,0,0,0,0
1743177574697379,0,0,0,0,0
1743177575201379,0,0,0,0,0
1743177575705379,0,0,0,0,0
1743177576209379,0,0,0,0,0
1743177576713379,0,0,0,0,0
1743177577217379,0,0,0,0,0
1743177577721379,0,0,0,0,0
1743177578225379,0,0,0,0,0
1743177578729379,0,0,0,0,0
1743177579233379,0,0,0,0,0
1743177579737379,0,0,0,0,0
1743177580241379,0,0,0,0,0
1743177580745379,0,0,0,0,0
1743177581249379,0,0,0,0,0
1743177581753379,0,0,0,0,0
1743177582257379,0,0,0,0,0
1743177582761379,0,0,0,0,0
1743177583265379,0,0,0,0,0
1743177583769379,0,0,0,0,0
1743177584273379,0,0,0,0,0
