timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
21817628000,0.040746365,0.0050600353,-0.003728453,4000,0,0.011444394,-0.08092036,-9.738152,4000,0,20,0
21817632000,0.035952687,0.003728381,-9.935248e-09,4000,0,0.032992207,-0.107256584,-9.713013,4000,0,20,0
21817636000,0.030626357,0.0007989197,0.0023968166,4000,0,0.025809607,-0.159929,-9.740546,4000,0,20,0
21817640000,0.029827408,-0.000266276,-0.0015979076,4000,0,-0.011300524,-0.18985656,-9.754913,4000,0,20,0
21817644000,0.025300035,0.0015979259,-0.0042610406,4000,0,0.0054588877,-0.17788553,-9.750123,4000,0,20,0
21817648000,0.020240026,0.002130525,-0.0029294703,4000,0,0.012641493,-0.18267395,-9.758503,4000,0,20,0
21817652000,0.017310545,0.0005326316,-0.0023968536,4000,0,-0.018483138,-0.17190005,-9.757305,4000,0,20,0
21817656000,0.012250541,-0.001331572,-0.0031958036,4000,0,0.028203808,-0.17070295,-9.784839,4000,0,20,0
21817660000,0.00692422,0.001065254,0.0007989559,4000,0,0.094044365,-0.19703913,-9.807584,4000,0,20,0
21817664000,0.003728427,0.0042610453,0.0058589634,4000,0,0.054540027,-0.19703913,-9.766882,4000,0,20,0
21817668000,-0.00079895614,0.0058589503,0.00266317,4000,0,-0.0005266145,-0.19584204,-9.75132,4000,0,20,0
21817672000,-0.0037284368,0.0061252667,-0.0026631558,4000,0,-0.0017237143,-0.23055796,-9.775262,4000,0,20,0
21817680000,-0.009853692,0.002663173,0.0021305345,4000,0,0.041371915,-0.2676681,-9.703436,4000,0,20,0
21817688000,-0.011185283,0.0066578947,0.0037284251,4000,0,-0.037636746,-0.104862384,-9.636398,4000,0,20,0
21817692000,-0.014114764,0.008522101,0.00053263205,4000,0,-0.04960775,-0.15514064,-9.701042,4000,0,20,0
21817696000,-0.0135821225,0.011717911,0.000532616,4000,0,0.00067048526,-0.18506815,-9.789629,4000,0,20,0
21817700000,-0.014114759,0.013049485,-0.00053263595,4000,0,0.06890524,-0.15514064,-9.738152,4000,0,20,0
21817704000,-0.018109499,0.012250545,-0.00026629478,4000,0,0.055737127,-0.1216218,-9.673508,4000,0,20,0
21817708000,-0.019174749,0.009321083,0.0026631835,4000,0,0.0066559915,-0.10605948,-9.718998,4000,0,20,0
21817712000,-0.017576868,0.009587382,0.0026631549,4000,0,0.00067048526,-0.13838121,-9.760898,4000,0,20,0
21817716000,-0.020772664,0.01091895,0.0010652671,4000,0,0.054540027,-0.18865946,-9.775262,4000,0,20,0
21817720000,-0.022104245,0.00958737,-0.00026630188,4000,0,0.092847265,-0.21140435,-9.832723,4000,0,20,0
21817724000,-0.013848437,0.011717912,-4.187724e-08,4000,0,0.065313935,-0.19225074,-9.865045,4000,0,20,0
21817728000,-0.0050600036,0.015180022,0.0005325822,4000,0,0.048554525,-0.12760729,-9.825541,4000,0,20,0
21817732000,-0.0061252713,0.01518002,0.000532638,4000,0,0.036583513,-0.10246818,-9.800403,4000,0,20,0
21817736000,-0.10865694,0.014913699,0.0069247396,4000,0,0.017429896,-0.17788552,-10.454019,4000,0,20,0
21817740000,-0.18349181,0.019174742,0.011185496,4000,0,0.031795114,-0.1383812,-10.286427,4000,0,20,0
21817744000,0.05539365,0.023435881,-0.002398632,4000,0,0.00067048526,0.08906798,-9.484366,4000,0,20,0
21817748000,0.24447808,0.019973798,-0.01518156,4000,0,-0.008906324,0.04357814,-9.560981,4000,0,20,0
21817752000,0.1019991,0.013582278,-0.008255374,4000,0,0.058131333,-0.22098118,-9.001937,4000,0,20,0
21817756000,-0.012516823,0.009587342,0.002130912,4000,0,0.037780613,-0.21020727,-9.153969,4000,0,20,0
21817760000,-0.006924211,0.009054763,0.0045273597,4000,0,-0.023271529,-0.05458413,-9.906945,4000,0,20,0
21817764000,0.0066578947,0.010918976,0.0023968003,4000,0,-0.008906324,-0.027050816,-9.887792,4000,0,20,0
21817768000,0.021571591,0.010918983,-0.0021305832,4000,0,0.027006706,-0.10725658,-9.903353,4000,0,20,0
21817772000,0.022903167,0.010120053,-0.007989495,4000,0,0.05693423,-0.23295215,-9.9213085,4000,0,20,0
21817776000,0.01624527,0.0077231987,-0.009853692,4000,0,0.053342927,-0.30238405,-9.906945,4000,0,20,0
21817780000,0.0077231727,0.0039947373,-0.0037284242,4000,0,0.035386417,-0.22696668,-9.863848,4000,0,20,0
21817784000,0.00026631946,0.002396844,0.00026632202,4000,0,0.058131333,-0.16112609,-9.845892,4000,0,20,0
21817788000,-0.0010652656,0.005060006,-0.00079894706,4000,0,0.06890524,-0.15992899,-9.844694,4000,0,20,0
21817792000,-0.0013315812,0.011185278,-0.002130531,4000,0,0.035386417,-0.14915511,-9.8411045,4000,0,20,0
21817796000,-0.0050600166,0.015446336,-0.005592626,4000,0,0.0162328,-0.15753481,-9.836314,4000,0,20,0
