timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
21775568000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21776072000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21776576000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21777080000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21777584000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21778088000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21778592000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21779096000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21779600000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21780104000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21780608000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21781112000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21781616000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21782120000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21782624000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21783128000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21783632000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21784136000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21784640000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21785144000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21785648000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21786152000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21786656000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21787160000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21787664000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21788168000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21788672000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21789176000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21789680000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21790184000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21790688000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21791192000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21791696000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21792200000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21792704000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21793208000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21793712000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
21794216000,21739172000,0,808026156,271155212,271548463,21726360000,21733108000,15,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
