timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1743177575517379,1743177575359379,1743177575365379,0,0.33133873,0.124595605,0.3398479,0.0025000002,0.0025000002,0.0025000002,0.00033168535,0.0019082353,0.000598371,0.0010130146,0.0008593308,-0.0011073505,0.002507216,0.002507825,0.0025037366,4.8754905e-06,0.00016131546,1.5912361e-05,0.00015692423,0.000110248024,-0.00018424129,0,0,1
1743177575581379,1743177575427379,1743177575429379,0,0.32926577,0.120085806,0.3417294,0.0025000002,0.0025000002,0.0025000002,0.0025711602,0.0061724037,-0.0013560355,0.0011995531,0.0014952912,-0.001137126,0.0025072088,0.0025078277,0.0025037387,0.0002929714,0.0016874747,8.1607235e-05,0.00017321156,0.0002990709,-0.00017195412,0,0,1
1743177575653379,1743177575495379,1743177575501379,0,0.33187327,0.12273182,0.3404575,0.0025000002,0.0025000002,0.0025000002,-0.00012917531,0.0035207272,-3.1292439e-06,0.0010404801,0.0017377787,-0.0010011893,0.0025071937,0.0025078207,0.0025037222,7.3948377e-07,0.00054920866,1.2153896e-10,0.00015238643,0.00032901697,-0.00015136808,0,0,1
1743177575717379,1743177575563379,1743177575565379,0,0.33006376,0.12807602,0.3396542,0.0025000002,0.0025000002,0.0025000002,0.0016685436,-0.0016823113,0.00075984,0.0011156708,0.0013282613,-0.00079062756,0.0025071872,0.002507827,0.0025037208,0.0001233803,0.00012547996,2.5472707e-05,0.00014891387,0.00027460538,-0.000130197,0,0,1
1743177575789379,1743177575631379,1743177575637379,0,0.32982728,0.1250448,0.34080204,0.0025000002,0.0025000002,0.0025000002,0.001719992,0.0015321523,-0.00027808547,0.001188019,0.0013525962,-0.00072938367,0.0025071844,0.0025078363,0.0025037213,0.00013110646,0.000103922364,3.4559603e-06,0.000146782,0.0002541715,-0.00011502378,0,0,1
1743177575853379,1743177575699379,1743177575701379,0,0.3316297,0.12613006,0.3409996,0.0025000002,0.0025000002,0.0025000002,-0.00011506518,0.0006864816,-0.00053852797,0.001032016,0.0012728551,-0.00070648774,0.0025071637,0.0025078224,0.0025037036,5.867629e-07,2.088193e-05,1.2851604e-05,0.00012913925,0.00022624247,-0.0001027919,0,0,1
1743177575925379,1743177575767379,1743177575773379,0,0.33009657,0.12503833,0.34086123,0.0025000002,0.0025000002,0.0025000002,0.0013615858,0.0018317252,-0.00036340952,0.0010714715,0.0013396988,-0.00066548627,0.002507159,0.0025078268,0.0025037061,8.216099e-05,0.00014856957,5.880148e-06,0.0001235151,0.0002169436,-9.118979e-05,0,0,1
1743177575989379,1743177575835379,1743177575837379,0,0.33599877,0.12829301,0.3463241,0.0025000002,0.0025000002,0.0025000002,-0.0045842626,-0.0012677759,-0.0058502555,0.00039437664,0.0010277462,-0.0012857572,0.0025071525,0.0025078324,0.002503705,0.000931356,7.1013645e-05,0.0015169686,-2.7722708e-06,0.00018246986,-0.0002618816,0,0,1
1743177576061379,1743177575903379,1743177575909379,0,0.33008173,0.12648371,0.34206605,0.0025000002,0.0025000002,0.0025000002,0.0011715229,0.0007060766,-0.0014765859,0.00048741527,0.0009891837,-0.0013086931,0.002507136,0.0025078198,0.002503689,6.082487e-05,2.2060805e-05,9.685848e-05,4.8414704e-06,0.00016326596,-0.0002421253,0,0,1
1743177576125379,1743177575971379,1743177575973379,0,0.32781345,0.11787376,0.34563118,0.0025000002,0.0025000002,0.0025000002,0.0035114314,0.009502396,-0.005183071,0.00084944535,0.0020082104,-0.0017724733,0.0025071276,0.0025078221,0.0025036903,0.00054644875,0.003999489,0.0011919982,6.968177e-05,0.00062253204,-0.00035584247,0,0,1
