timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
21735812000,21735812000,-0.03343373,-0.012609527,0.001909809,0.43319896,0.0,0.0,0.0,-1.0
21735860000,21735860000,0.0025709055,-0.01270212,0.001865578,0.43424666,0.0,0.0,0.0,-1.0
21735912000,21735912000,-0.00128553,-0.012452437,0.0006151229,0.43456054,0.0,0.0,0.0,-1.0
21735960000,21735960000,0.0012155629,-0.012701457,-5.413731e-05,0.43522155,0.0,0.0,0.0,-1.0
21736012000,21736012000,0.0011249229,-0.011758417,0.00077522744,0.43628582,0.0,0.0,0.0,-1.0
21736060000,21736060000,4.5649223e-05,-0.01222717,0.0008427239,0.43571767,0.0,0.0,0.0,-1.0
21736112000,21736112000,0.0003817728,-0.0111774085,-0.0006097493,0.43619806,0.0,0.0,0.0,-1.0
21736160000,21736160000,0.0018281688,-0.010993647,-0.0009548527,0.436683,0.0,0.0,0.0,-1.0
21736212000,21736212000,0.0030940012,-0.011663436,-0.000117262214,0.43714768,0.0,0.0,0.0,-1.0
21736256000,21736256000,0.0007450365,-0.01198364,0.0015665654,0.43757495,0.0,0.0,0.0,-1.0
21736308000,21736308000,0.00050225033,-0.011317387,0.0002787664,0.4385104,0.0,0.0,0.0,-1.0
21736356000,21736356000,0.00977356,-0.013067411,-0.00065146893,0.4401454,0.0,0.0,0.0,-1.0
21736408000,21736408000,0.0012657989,-0.011735703,0.00088433706,0.43974558,0.0,0.0,0.0,-1.0
21736460000,21736460000,6.655016e-05,-0.012410488,0.0017986166,0.43987897,0.0,0.0,0.0,-1.0
21736508000,21736508000,0.025531063,-0.0106925145,-0.0023498633,0.44029373,0.0,0.0,0.0,-1.0
21736556000,21736556000,0.003631541,-0.012565265,0.00034893962,0.4405222,0.0,0.0,0.0,-1.0
21736612000,21736612000,0.00093532127,-0.0121999,6.46539e-05,0.43989855,0.0,0.0,0.0,-1.0
21736660000,21736660000,7.2830764e-05,-0.010608027,0.0015710877,0.440128,0.0,0.0,0.0,-1.0
21736712000,21736712000,0.0040317937,-0.0125351995,-0.0008144719,0.44151744,0.0,0.0,0.0,-1.0
21736760000,21736760000,0.00084386364,-0.011736121,1.8011198e-05,0.44063544,0.0,0.0,0.0,-1.0
21736812000,21736812000,0.0010699936,-0.012386299,0.00081207725,0.44052628,0.0,0.0,0.0,-1.0
21736860000,21736860000,0.02677668,-0.011645105,-0.0014910556,0.4410998,0.0,0.0,0.0,-1.0
21736912000,21736912000,0.0031546287,-0.0108482065,0.0003864474,0.44175828,0.0,0.0,0.0,-1.0
21736960000,21736960000,-0.000480316,-0.012223874,0.00091087894,0.44155824,0.0,0.0,0.0,-1.0
21737012000,21737012000,0.0005936755,-0.010407156,0.0003065097,0.4423189,0.0,0.0,0.0,-1.0
21737060000,21737060000,0.010356876,-0.011194978,0.000351816,0.4433164,0.0,0.0,0.0,-1.0
21737112000,21737112000,0.0016434942,-0.011957869,-0.00069684593,0.4421484,0.0,0.0,0.0,-1.0
21737156000,21737156000,-0.00010406788,-0.010781683,0.00028893223,0.44209984,0.0,0.0,0.0,-1.0
