timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
177327255,177325471,43973845,36.4533956,127.4065695,26.953382,28.501053,-0.87580293,-0.00019583842,0.0002981637,-4.5001507e-05,0.0469058,-0.26111475,-0.033104956,-0.048255175,0.040229075,0.0045862254,0.07276097,-0.23446138,0.071049035,-0.0021862742,-1.2662141,-0.012437099,33.46734,0.10902721,0.22735853,0.19785947,0.118190356,0.08439272,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177426534,177424891,43973845,36.4533956,127.4065695,26.953892,28.474468,-0.8761792,-0.00019583842,0.0002981637,-4.5001507e-05,0.020794122,-0.22274241,-0.0027500377,-0.014972285,0.040229075,0.0045862254,0.07276097,-0.26152632,0.5898272,0.41786924,-1.279479,-0.012437099,33.46734,0.10949111,0.2255218,0.1964961,0.117209755,0.08390904,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177525947,177524311,43973845,36.4533956,127.4065695,26.953186,28.453398,-0.87441397,-0.00019583842,0.0002981637,-4.5001507e-05,0.008394171,-0.14746009,0.018772747,0.008342481,0.040229075,0.0045862254,0.07276097,-0.09735709,0.81079394,0.2214166,-1.3014748,-0.012437099,33.46734,0.10236806,0.22369596,0.19542484,0.11597274,0.083469525,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177625377,177623732,43973845,36.4533956,127.4065695,26.952421,28.441044,-0.869754,-0.00019583842,0.0002981637,-4.5001507e-05,-0.008706252,-0.071480826,0.060723808,0.051915843,0.040229075,0.0045862254,0.07276097,-0.40078035,0.46589985,0.45912698,-1.3232596,-0.012437099,33.46734,0.10594547,0.22188362,0.19404916,0.114738375,0.082957864,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177724792,177723152,43973845,36.4533956,127.4065695,26.949846,28.419415,-0.86301434,-0.00019583842,0.0002981637,-4.5001507e-05,0.03480882,-0.6790711,-0.13872565,-0.14450975,0.040229075,0.0045862254,0.07276097,6.626636,-21.300049,-9.20293,-1.3418118,-0.012437099,33.46734,0.103307426,0.22901775,0.19918635,0.11902604,0.08490695,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177824051,177822572,43973845,36.4533956,127.4065695,26.995325,28.243109,-0.914789,-0.00019583842,0.0002981637,-4.5001507e-05,0.39271638,-2.2522116,-0.48111013,-0.48475447,0.040229075,0.0045862254,0.07276097,-13.872102,10.158678,13.4887085,-1.384955,-0.012437099,33.46734,0.16011924,0.22714342,0.1977897,0.119248815,0.08445107,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
177923518,177921993,43973845,36.4533956,127.4065695,26.999691,28.153187,-0.93277603,-0.00019583842,0.0002981637,-4.5001507e-05,-0.13162722,0.32103497,-0.107857965,-0.11031643,0.040229075,0.0045862254,0.07276097,2.3153696,10.2703085,2.0003655,-1.3961604,-0.012437099,33.46734,0.1567244,0.22531871,0.19640478,0.12520784,0.083118975,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
178022929,178021413,43973845,36.4533956,127.4065695,27.00832,28.184063,-0.9409402,-0.00019583842,0.0002981637,-4.5001507e-05,0.06853557,0.38475323,-0.043891463,-0.049493622,0.040229075,0.0045862254,0.07276097,1.7031959,-2.0551407,-0.80347985,-1.3675841,-0.012437099,33.46734,0.16488856,0.22352315,0.19500816,0.1165417,0.080939144,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
178122400,178120834,43973845,36.4533956,127.4065695,27.027206,28.201088,-0.9536085,-0.00019583842,0.0002981637,-4.5001507e-05,0.062971815,0.44608364,-0.05334257,-0.06379713,0.040229075,0.0045862254,0.07276097,0.3988013,0.09151991,2.4113457,-1.3307273,-0.012437099,33.46734,0.17755687,0.2307686,0.2000224,0.120947175,0.081566386,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
178221852,178220254,43973845,36.4533956,127.4065695,27.034456,28.259745,-0.9575254,-0.00019583842,0.0002981637,-4.5001507e-05,0.15161668,0.45687744,-0.03613359,-0.04428128,0.040229075,0.0045862254,0.07276097,-0.40631962,-0.06910443,0.91550916,-1.3163079,-0.012437099,33.46734,0.18147373,0.22891839,0.19851398,0.12019572,0.08001882,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
