timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
283261775,283160770,-0.51892245,0.7894718,0.013574557,0.0070029264,0.36302948,1.9257332,0.05309071,0.090330474
284257095,284154875,-0.5240188,0.8046882,0.0137079675,0.0069946423,0.8214302,1.9259598,0.03822703,0.090342075
285259944,285158921,-0.52707475,0.8402261,0.013844237,0.006991275,1.2052794,1.925606,0.0444588,0.09032819
286264355,286162967,-0.5318216,0.8738119,0.013973809,0.006986871,1.1057558,1.9257404,0.045116797,0.090314336
287268426,287167012,-0.5361816,0.91661716,0.014116951,0.006979349,1.1664639,1.925341,0.051027834,0.09034042
288262539,288161120,-0.54413724,0.96168214,0.01425003,0.0069702687,1.5752344,1.9255011,0.06756863,0.090352155
289266832,289165160,-0.5503707,1.0235611,0.014385463,0.0069652135,1.4090567,1.9261677,0.04774609,0.090361975
290261425,290159263,-0.5590427,1.0580927,0.0144985,0.006954653,1.8574514,1.9273465,0.07913305,0.09036793
291264501,291163306,-0.57492125,1.1015352,0.014617945,0.006950166,0.8615179,1.9275746,0.090469696,0.09038707
292258691,292157408,-0.58962893,1.1453991,0.014717499,0.0069455463,1.4590626,1.9279453,0.011132312,0.090434246
293262674,293161451,-0.5865545,1.160826,0.014803948,0.0070159524,1.0852976,1.9299164,-0.20758909,0.09166554
294268299,294165492,-0.5865545,1.160826,0.015039585,0.0072515896,0.26046497,1.9281539,2.4922528,4.9159236
295260676,295159593,-0.5865545,1.160826,0.015268312,0.0074803135,-0.7225226,1.9340129,0.050339438,0.10410773
296264657,296163633,-0.5865545,1.160826,0.015491307,0.0077033206,-0.13265014,1.9341482,-0.0074573774,0.10531049
297263896,297162704,-0.5865545,1.160826,0.015702646,0.007914664,-0.045996666,1.9350079,-0.024100466,0.10575313
