timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
251470453,-0.28253725,0.024118401,-1.3294971,0.0,0.7802219,-0.10344647,0.09624394,-0.60933536,0.4936886,0.0,0.0,0,0
251511268,-0.284342,0.023721687,-1.336794,0.0,0.7778847,-0.10391858,0.0970192,-0.6121141,0.49249417,0.0,0.0,0,0
251569967,-0.28767213,0.023298465,-1.3467215,0.0,0.77464646,-0.104856625,0.098395854,-0.6158297,0.49179375,0.0,0.0,0,0
251609851,-0.28923118,0.022832125,-1.3530998,0.0,0.7725778,-0.10528934,0.09903205,-0.61824775,0.49123657,0.0,0.0,0,0
251669514,-0.29104617,0.022136599,-1.3615001,0.0,0.7698501,-0.10578815,0.09977034,-0.62143826,0.4893436,0.0,0.0,0,0
251730096,-0.2968902,0.022523962,-1.3700961,0.0,0.76687735,-0.10747816,0.10219728,-0.6244223,0.48499537,0.0,0.0,0,0
251768638,-0.3012979,0.022894487,-1.3772941,0.0,0.7644033,-0.10867789,0.104106605,-0.6269278,0.48218232,0.0,0.0,0,0
251809633,-0.30583423,0.023141138,-1.3849697,0.0,0.761755,-0.1099276,0.10604495,-0.6296028,0.479724,0.0,0.0,0,0
251868157,-0.31328595,0.023518309,-1.3984618,0.0,0.75709546,-0.1119111,0.10929058,-0.63430107,0.47850934,0.0,0.0,0,0
251927889,-0.31762767,0.023027502,-1.4136126,0.0,0.7520028,-0.1128705,0.11134039,-0.6398089,0.47884205,0.0,0.0,0,0
251967686,-0.31883314,0.02240771,-1.4232892,0.0,0.748801,-0.112982064,0.11204166,-0.64341176,0.47948673,0.0,0.0,0,0
252028589,-0.3201003,0.021858945,-1.4373193,0.0,0.7441713,-0.11284355,0.113038875,-0.648612,0.4795396,0.0,0.0,0,0
252067146,-0.32201892,0.021787189,-1.4467802,0.0,0.7409832,-0.11304194,0.11417043,-0.6520204,0.47965464,0.0,0.0,0,0
252126651,-0.32300523,0.021353647,-1.4615314,0.0,0.736077,-0.112702884,0.11516623,-0.65743846,0.47912443,0.0,0.0,0,0
252167666,-0.3229161,0.020857617,-1.4703325,0.0,0.73315704,-0.11232681,0.11545036,-0.6607078,0.4775395,0.0,0.0,0,0
252226471,-0.32497162,0.020975046,-1.4828242,0.0,0.7289069,-0.11231353,0.11687603,-0.6651468,0.47509205,0.0,0.0,0,0
