timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
205231810,0,1743472132124774,10813469,364553093,1274044414,84847,104862,0.172,0.008554906,0.78700006,1.003,0.51,0.75,76,6,19.131,11.682,15.151001,-2.5930002,0.913975,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
205727038,0,1743472132624774,10813469,364553518,1274045312,86092,106106,0.24300002,0.009218655,0.785,1.008,0.51,0.75,76,6,18.715,7.4860005,17.152,-2.5080001,1.1592622,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
206229724,0,1743472133124774,10813469,364553826,1274046305,86580,106594,0.21800001,0.007991339,0.78400004,1.011,0.51,0.77,70,12,18.936,5.446,18.136002,-0.58000004,1.2790704,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
206725498,0,1743472133624774,10813469,364553999,1274047339,86611,106625,0.24800001,0.011358776,0.78400004,1.013,0.5,0.77,70,12,18.879002,2.13,18.758001,-0.055000003,1.4577549,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
207226807,0,1743472134124774,10813469,364554034,1274048390,86302,106317,0.201,0.008860687,0.78300005,1.014,0.51,0.75,69,9,18.922,-0.57000005,18.914001,0.60800004,1.600908,0,nan,0.0,0.0,0.0,0,3,1,1,1,28,0
208200983,0,1743472134999775,10813469,364553866,1274050228,84901,104916,0.16000001,0.010558019,0.77900004,1.018,0.51,0.78999996,65,6,19.327002,-3.5720003,18.994001,1.8880001,1.7567024,0,nan,0.0,0.0,0.0,0,3,1,1,1,24,0
208734018,0,1743472135624774,10813469,364553609,1274051544,83833,103849,0.142,0.010002307,0.78000003,1.024,0.51,0.7,65,6,19.660002,-5.2850003,18.936,1.4870001,1.8429768,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
209240255,0,1743472136124774,10813469,364553360,1274052605,82999,103014,0.155,0.010254159,0.777,1.0220001,0.53,0.72999996,79,15,20.147001,-5.597,19.354,1.304,1.8523158,0,nan,0.0,0.0,0.0,0,3,1,1,1,27,0
209737674,0,1743472136624774,10813469,364553114,1274053684,82569,102586,0.14,0.009763371,0.776,1.0200001,0.58,0.78,79,15,20.135,-5.355,19.410002,0.053000003,1.8400105,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
210236307,0,1743472137124773,10813469,364552882,1274054762,82602,102619,0.15,0.010056238,0.77300006,1.0200001,0.52,0.72999996,85,13,20.081001,-5.11,19.42,-0.87600005,1.8280916,0,nan,0.0,0.0,0.0,0,3,1,1,1,26,0
