timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
21738412000,0.06596255,0.109071895,-1.0517666,0.0,0.8622231,0.055824656,0.030589849,-0.5025129,0.0,0.0,-0.46183267,0,0,0,0,0
21738460000,0.08229785,0.13669439,-1.0518208,0.0,0.8607073,0.069749855,0.038412508,-0.5028344,0.0,0.0,-0.46829385,0,0,0,0,0
21738508000,0.08925509,0.14691693,-1.051949,0.0,0.86000013,0.075289026,0.041071463,-0.5030352,0.0,0.0,-0.46621853,0,0,0,0,0
21738556000,0.094381206,0.15641508,-1.0521852,0.0,0.85932195,0.0798583,0.043871906,-0.5032531,0.0,0.0,-0.4650094,0,0,0,0,0
21738604000,0.09982298,0.16767228,-1.0524956,0.0,0.85848933,0.0849975,0.047346134,-0.5035174,0.0,0.0,-0.464119,0,0,0,0,0
21738660000,0.11696232,0.19682151,-1.0531715,0.0,0.85598814,0.099580824,0.05556353,-0.50426245,0.0,0.0,-0.468492,0,0,0,0,0
21738708000,0.121768124,0.20640811,-1.0534664,0.0,0.85510993,0.10401299,0.058466364,-0.5045295,0.0,0.0,-0.466305,0,0,0,0,0
21738756000,0.12595917,0.21565561,-1.053673,0.0,0.8542723,0.10809143,0.061380126,-0.504745,0.0,0.0,-0.46480417,0,0,0,0,0
21738804000,0.13057534,0.22358401,-1.0537748,0.0,0.8534909,0.11201857,0.06362229,-0.504933,0.0,0.0,-0.46356344,0,0,0,0,0
21738852000,0.13103512,0.22913761,-1.0538071,0.0,0.8530956,0.11358251,0.065894425,-0.50496024,0.0,0.0,-0.4604243,0,0,0,0,0
21738908000,0.14722896,0.25588652,-1.0502588,0.0,0.85115796,0.12691097,0.0735332,-0.50400054,0.0,0.0,-0.46531057,0,0,0,0,0
21738956000,0.14910296,0.26159468,-1.0503047,0.0,0.85060376,0.1291014,0.075513795,-0.5040871,0.0,0.0,-0.46247333,0,0,0,0,0
21739004000,0.1524682,0.26757976,-1.0503901,0.0,0.84990996,0.13199261,0.077234134,-0.50424784,0.0,0.0,-0.4614302,0,0,0,0,0
21739060000,0.16495624,0.29194453,-1.050433,0.0,0.8470955,0.14320537,0.08455322,-0.50474966,0.0,0.0,-0.46648398,0,0,0,0,0
21739108000,0.16551383,0.29541296,-1.0505471,0.0,0.8467368,0.14428553,0.08589402,-0.5048174,0.0,0.0,-0.46385875,0,0,0,0,0
21739156000,0.16755871,0.2993121,-1.0507793,0.0,0.84620035,0.14610381,0.087035276,-0.50499856,0.0,0.0,-0.46216005,0,0,0,0,0
21739208000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739256000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739312000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739356000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739412000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739460000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739508000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739556000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739608000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739660000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739708000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739756000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739808000,0.001973398,0.45937034,-1.0499165,0.0,0.8425063,0.114934795,0.19653231,-0.48820922,0.0,0.0,-0.51000005,0,0,0,0,0
21739860000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739912000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21739956000,0.001973398,0.45937034,-1.0499165,0.0,0.8425063,0.114934795,0.19653231,-0.48820922,0.0,0.0,-0.51000005,0,0,0,0,0
21740008000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21740056000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21740112000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
21740156000,0.0032889966,0.45936984,-1.049609,0.0,0.8425057,0.11545866,0.19622865,-0.48820883,0.0,0.0,-0.51000005,0,0,0,0,0
